naics	x	y	C1	C2	C3
326150	6.0498743	0.48296866	4	8	19
326160	6.011875	0.49168682	4	8	19
326191	6.0664024	0.49170813	4	8	19
326199	6.27161	0.4295282	4	8	19
326211	5.791836	0.92538804	4	8	20
326220	6.137048	0.7298140999999999	4	8	19
326291	5.9548144	0.7715208	4	8	19
326299	5.7409349999999995	0.84017676	4	8	20
327211	5.796463	0.06113616400000001	4	8	21
327212	5.850079	0.03640902	4	8	21
327213	5.8929887	0.17216723	4	8	21
327215	5.781160400000001	0.08662502	4	8	21
327332	5.874478	0.38595882	4	8	19
327993	5.2832026	0.5016811999999999	4	8	18
331492	6.099426	0.42603907	4	8	19
332913	6.2935696	0.44614428	4	8	19
335991	5.4101989999999995	0.45368376	4	8	20
339940	5.7605047	1.322091	4	8	16
339950	5.4354987	1.9159283999999999	4	8	16
339991	5.9663889999999995	0.80354834	4	8	19
339994	5.465865	0.7870899	4	8	20
339995	6.595975999999999	1.4478962	4	8	16
423330	4.851831	1.4345814	4	8	18
423710	5.0592594	1.6644214	4	8	18
423850	6.287404	1.6021848	4	8	16
423920	6.054193	1.971571	4	8	16
424110	5.9325876	1.4439543	4	8	16
424120	5.8948045	1.587507	4	8	16
424130	5.9628935	1.3698678999999998	4	8	16
424610	5.7647934	0.99931484	4	8	20
424920	5.7745094	1.7201326000000001	4	8	16
424950	4.986911	1.4144558999999999	4	8	18
511191	5.7131767	1.7055818999999999	4	8	16
561910	5.965067400000001	1.5339565	4	8	16
212111	4.5028242999999994	-0.015578985	4	3	6
212112	4.533753	0.04498537	4	3	6
212113	4.478854	0.034378354	4	3	6
212210	4.547029	-0.047159745999999995	4	3	6
212221	4.540488	-0.10850688	4	3	6
212222	4.558904	-0.11772742	4	3	6
212230	4.498469999999999	-0.014371695	4	3	6
212291	4.535906	-0.047353756	4	3	6
212299	4.484287	-0.017585216	4	3	6
212311	4.739601599999999	-0.15351778	4	3	6
212312	4.8840437	-0.20261513	4	3	6
212313	4.814655	-0.20885836	4	3	6
212319	4.6573257	-0.11477639999999999	4	3	6
212321	4.732044	-0.13757174	4	3	6
212322	4.758319	-0.18322374	4	3	6
212324	4.771831	-0.22981489	4	3	6
212325	4.713671700000001	-0.22986779	4	3	6
212391	4.5875	-0.010464626	4	3	6
212392	4.5737414	-0.018973898	4	3	6
212393	4.6158985999999995	-0.10494357	4	3	6
212399	4.686945400000001	-0.1089922	4	3	6
213113	4.592183599999999	-0.012939476	4	3	6
213115	4.744269999999999	-0.17648765	4	3	6
213114	3.5686517	2.7676015	10	5	8
236115	3.7283017999999997	2.8763387000000002	10	5	8
236116	3.8609324000000003	2.9704987999999997	10	5	8
236117	3.7249575	2.8391206	10	5	8
236210	3.9467726	2.6409632999999997	10	5	8
236220	3.7211125	2.815157	10	5	8
237110	3.6867561	2.850457	10	5	8
237310	3.6781970999999998	2.8533711	10	5	8
237990	3.6751	2.7807949	10	5	8
238110	3.6936047	2.7006085	10	5	8
238130	3.6274912000000006	2.5523834	10	5	8
